epoch,stage,lr,landm_weight,train_time_s,train_loss,train_reg,train_cls,train_landm,train_nme,train_acc,train_landm_acc,train_landm_acc_eyeL,train_landm_acc_eyeR,train_landm_acc_nose,train_landm_acc_mouthL,train_landm_acc_mouthR,train_pos_precision,train_pos_recall,train_pos_f1,train_neg_precision,train_neg_recall,val_time_s,val_loss,val_reg,val_cls,val_landm,val_nme,val_acc,val_landm_acc,val_landm_acc_eyeL,val_landm_acc_eyeR,val_landm_acc_nose,val_landm_acc_mouthL,val_landm_acc_mouthR,val_pos_precision,val_pos_recall,val_pos_f1,val_neg_precision,val_neg_recall,val_map50,val_map75,val_map
24,2,9.537877098354787e-06,1.0,320.9,13.091804,0.235377,0.639142,11.981908,0.039799,0.999565,0.941205,0.953958,0.952264,0.923092,0.939621,0.937093,0.912645,0.8626,0.886917,0.999728,0.999836,33.9,13.303149,0.229519,0.635964,12.208146,0.039233,0.999578,0.941125,0.953826,0.951789,0.923326,0.938211,0.938472,0.914022,0.868787,0.890831,0.99974,0.999838,,,
25,2,9.491328693914723e-06,1.0,325.1,12.962817,0.234305,0.636045,11.858162,0.039344,0.999566,0.942579,0.954462,0.953309,0.925629,0.94057,0.938928,0.912562,0.863087,0.887136,0.999729,0.999836,33.4,13.224284,0.228555,0.630727,12.136448,0.038951,0.999579,0.942864,0.954965,0.953921,0.925795,0.939621,0.940018,0.915368,0.86773,0.890913,0.999737,0.999841,,,
26,2,9.442672041986458e-06,1.0,324.6,12.853912,0.233846,0.63436,11.75186,0.038973,0.999566,0.943606,0.955183,0.954514,0.92713,0.940849,0.940356,0.912964,0.862817,0.887182,0.999728,0.999837,33.3,13.074892,0.226974,0.628313,11.992632,0.038484,0.999581,0.944213,0.955653,0.954665,0.927994,0.941573,0.94118,0.914716,0.869765,0.891674,0.999741,0.999839,,,
27,2,9.391929982195233e-06,1.0,320.1,12.729256,0.230987,0.63022,11.637061,0.03856,0.999569,0.944791,0.955919,0.954904,0.929128,0.943534,0.940471,0.913885,0.863515,0.887986,0.99973,0.999839,33.4,13.018266,0.227102,0.628195,11.935866,0.038277,0.999579,0.944736,0.956397,0.954687,0.928637,0.942001,0.941958,0.914754,0.868618,0.891089,0.999739,0.999839,,,
28,2,9.339126333065008e-06,1.0,322.6,12.634191,0.230543,0.628497,11.544608,0.038211,0.999569,0.945779,0.95688,0.955441,0.930528,0.944058,0.941991,0.913362,0.863895,0.88794,0.99973,0.999838,33.9,12.836138,0.227146,0.627003,11.754843,0.037595,0.999579,0.945555,0.957254,0.955522,0.929584,0.943445,0.941969,0.916565,0.866628,0.890897,0.999735,0.999843,,,
29,2,9.284285880837947e-06,1.0,341.1,12.522471,0.229489,0.625712,11.437781,0.037821,0.999569,0.947144,0.957886,0.956544,0.932379,0.945291,0.94362,0.914139,0.863222,0.887951,0.999729,0.999839,33.4,12.680389,0.224698,0.622536,11.608457,0.03707,0.999582,0.947217,0.958652,0.957056,0.931692,0.944832,0.943853,0.915218,0.869574,0.891812,0.999741,0.99984,,,
30,2,9.22743436783966e-06,1.0,321.9,12.421378,0.22897,0.623442,11.339997,0.037483,0.99957,0.947942,0.958415,0.957324,0.9337,0.945865,0.944409,0.913639,0.863982,0.888117,0.999731,0.999838,33.3,12.621455,0.224386,0.621412,11.551271,0.036894,0.999582,0.948203,0.959002,0.957338,0.933722,0.945915,0.945038,0.916064,0.868349,0.891568,0.999739,0.999842,,,
31,2,9.168598480395653e-06,1.0,320.2,12.313079,0.227449,0.621762,11.236419,0.037121,0.999569,0.948913,0.959462,0.957325,0.935221,0.946809,0.945749,0.913924,0.863405,0.887947,0.999729,0.999839,34.0,12.486525,0.224238,0.621526,11.416524,0.036449,0.99958,0.949141,0.959825,0.958454,0.935425,0.946175,0.945828,0.915948,0.867775,0.891211,0.999738,0.999842,,,
32,2,9.107805836304658e-06,1.0,324.8,12.197678,0.226811,0.619319,11.124737,0.036752,0.99957,0.950189,0.959851,0.958858,0.936767,0.948574,0.946899,0.914483,0.863442,0.88823,0.999729,0.99984,33.9,12.427698,0.222737,0.618481,11.363744,0.036292,0.999582,0.950294,0.960242,0.959604,0.93671,0.947855,0.947057,0.915546,0.869113,0.891725,0.99974,0.999841,,,
33,2,9.045084971874738e-06,1.0,319.2,12.100683,0.225999,0.617263,11.031422,0.036414,0.999571,0.951058,0.960643,0.959784,0.938212,0.949717,0.946934,0.914165,0.864081,0.888418,0.999731,0.999839,33.9,12.286575,0.222665,0.616071,11.225174,0.035766,0.999584,0.951465,0.961009,0.960134,0.938446,0.949209,0.948524,0.912974,0.873149,0.892618,0.999748,0.999835,,,
34,2,8.98046532852822e-06,1.0,323.1,12.013866,0.225558,0.616216,10.946534,0.036109,0.999571,0.951919,0.962016,0.959812,0.939005,0.950881,0.947884,0.914623,0.863602,0.888381,0.99973,0.99984,33.3,12.188513,0.222335,0.615815,11.128029,0.035475,0.999582,0.952295,0.961708,0.961183,0.938909,0.950089,0.949584,0.914207,0.870473,0.891804,0.999743,0.999838,,,
35,2,8.91397723898178e-06,1.0,317.7,11.892309,0.224015,0.613562,10.830717,0.03574,0.999571,0.952807,0.962065,0.960655,0.939324,0.952354,0.949639,0.914619,0.863946,0.88856,0.99973,0.99984,33.8,12.107793,0.221233,0.6135,11.051827,0.035232,0.999582,0.952904,0.961629,0.961465,0.940081,0.950946,0.950397,0.917466,0.867202,0.891626,0.999736,0.999845,,,
36,2,8.845651913008145e-06,1.0,317.7,11.81233,0.22453,0.612977,10.750293,0.035445,0.999571,0.95402,0.962799,0.962145,0.941172,0.952847,0.95114,0.91495,0.86345,0.888455,0.999729,0.999841,34.3,12.063047,0.221542,0.613748,11.006216,0.035148,0.999582,0.953792,0.962362,0.962334,0.940893,0.952119,0.951254,0.915286,0.869237,0.891667,0.99974,0.99984,,,
37,2,8.775521422786104e-06,1.0,321.2,11.726839,0.223249,0.610244,10.670097,0.035165,0.999572,0.954535,0.963584,0.962116,0.942047,0.953515,0.951417,0.914901,0.863991,0.888717,0.999731,0.999841,34.2,11.89102,0.219085,0.60957,10.843281,0.034526,0.999583,0.954611,0.963196,0.962852,0.942032,0.952863,0.952111,0.916065,0.869349,0.892096,0.999741,0.999842,,,
38,2,8.703618687845697e-06,1.0,318.1,11.647007,0.221383,0.609291,10.594951,0.034908,0.999572,0.955086,0.963288,0.962925,0.942747,0.954632,0.951841,0.915225,0.863653,0.888691,0.99973,0.999841,33.5,11.864135,0.220516,0.609251,10.813852,0.034428,0.999583,0.955046,0.963433,0.963157,0.941818,0.953743,0.953081,0.915272,0.870181,0.892157,0.999742,0.99984,,,
