epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
39,14176,0.74413,0.0897,0.06037,0.32115,0.0107,0.01202,0.99343,0.98652,0.99386,0.92151,0.99252,0.98495,0.99375,0.99371,0.46042,0.02269,0.00874,0.14107,0.00905,0,0.00425667,0.00425667,0.00425667
40,14416.5,0.73488,0.0774,0.05944,0.31197,0.01056,0.00027,0.99079,0.98888,0.99359,0.92112,0.99222,0.98514,0.99347,0.99342,0.45996,0.0228,0.00864,0.14041,0.00904,0,0.00421925,0.00421925,0.00421925
41,14657.3,0.73196,0.07881,0.0585,0.31194,0.01054,0,0.99247,0.98822,0.99349,0.92141,0.99145,0.98648,0.99337,0.99332,0.45936,0.02279,0.0086,0.14069,0.00903,0,0.0041811,0.0041811,0.0041811
42,14898.3,0.72636,0.0776,0.05749,0.30705,0.01046,0.00286,0.9918,0.98822,0.99358,0.92175,0.99041,0.98668,0.99342,0.99338,0.45823,0.02267,0.00851,0.14058,0.00901,0,0.00414222,0.00414222,0.00414222
43,15140,0.72447,0.07845,0.05893,0.30917,0.01042,0,0.99356,0.98855,0.9937,0.92214,0.99198,0.98676,0.99357,0.99352,0.45669,0.02256,0.00869,0.13867,0.00897,0,0.00410262,0.00410262,0.00410262
44,15381.6,0.72663,0.07893,0.05866,0.30899,0.01039,0.00079,0.99323,0.98914,0.99369,0.92216,0.99174,0.98731,0.99355,0.99352,0.45659,0.02244,0.00868,0.13789,0.00897,0,0.00406234,0.00406234,0.00406234
45,15627,0.72083,0.07586,0.05734,0.30775,0.0103,0,0.99233,0.99071,0.99374,0.92199,0.99064,0.98901,0.99363,0.99359,0.45645,0.02234,0.00851,0.13762,0.00896,0,0.00402138,0.00402138,0.00402138
46,15875.3,0.71739,0.07612,0.05742,0.3025,0.01025,0,0.99201,0.98992,0.99377,0.92227,0.9903,0.98822,0.99365,0.9936,0.45635,0.02226,0.00849,0.13762,0.00895,0,0.00397977,0.00397977,0.00397977
47,16123.9,0.71489,0.07338,0.058,0.30343,0.01025,0,0.99144,0.99071,0.99364,0.92205,0.98973,0.98901,0.99352,0.99349,0.45584,0.02214,0.00845,0.13815,0.00894,0,0.00393752,0.00393752,0.00393752
48,16371.8,0.71094,0.07387,0.05605,0.30178,0.01019,0,0.99074,0.99045,0.99376,0.92232,0.98904,0.98875,0.99364,0.9936,0.45614,0.02205,0.0084,0.13778,0.00894,0,0.00389464,0.00389464,0.00389464
49,16619.2,0.70222,0.07492,0.05537,0.29635,0.01004,0,0.99057,0.98951,0.99363,0.92196,0.98903,0.98757,0.9935,0.99347,0.45643,0.02195,0.0083,0.13834,0.00894,0,0.00385117,0.00385117,0.00385117
50,16868.4,0.70436,0.07417,0.0552,0.29961,0.01008,0,0.98933,0.99084,0.99375,0.92193,0.98763,0.98914,0.99364,0.99361,0.45579,0.02191,0.00824,0.13801,0.00893,0,0.00380712,0.00380712,0.00380712
51,17115.8,0.70749,0.07322,0.05467,0.29528,0.01009,7e-05,0.98863,0.99267,0.99379,0.92305,0.98694,0.99097,0.99368,0.99364,0.45548,0.0218,0.00818,0.13712,0.00892,0,0.0037625,0.0037625,0.0037625
52,17364.2,0.7055,0.07788,0.05554,0.29064,0.01008,0.00288,0.99005,0.99176,0.99369,0.92212,0.98851,0.99019,0.99359,0.99356,0.45493,0.02173,0.00812,0.13685,0.0089,0,0.00371734,0.00371734,0.00371734
53,17612.5,0.70254,0.07156,0.05432,0.29651,0.01003,0,0.98956,0.99149,0.99358,0.922,0.98805,0.98992,0.99347,0.99344,0.45457,0.02168,0.00809,0.13723,0.0089,0,0.00367166,0.00367166,0.00367166
54,17861.4,0.69462,0.06998,0.05363,0.29412,0.00994,0,0.99041,0.99136,0.9937,0.9222,0.98915,0.98984,0.9936,0.99357,0.45434,0.02159,0.00808,0.13806,0.0089,0,0.00362547,0.00362547,0.00362547
