epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
88,18173.9,0.59297,0.0513,0.04417,0.23849,0.00832,0,0.99071,0.99119,0.9937,0.9434,0.98986,0.98914,0.99357,0.99351,0.39023,0.01778,0.00596,0.12249,0.00762,0,0.0011457,0.0011457,0.0011457
89,18382,0.59316,0.05335,0.04431,0.23792,0.0083,0,0.99043,0.99045,0.99353,0.94436,0.98926,0.98793,0.9934,0.99334,0.38929,0.01773,0.006,0.12278,0.00761,0,0.00111565,0.00111565,0.00111565
90,18585.4,0.59412,0.05247,0.04414,0.23879,0.00841,0,0.99358,0.98835,0.99356,0.94443,0.99247,0.98626,0.99342,0.99338,0.38867,0.01769,0.00599,0.12018,0.0076,0,0.00108579,0.00108579,0.00108579
91,18789.7,0.58954,0.05284,0.04351,0.23698,0.00826,0,0.98966,0.99398,0.99367,0.94473,0.98788,0.99196,0.99353,0.99349,0.38787,0.01763,0.00596,0.12015,0.00758,0,0.00105611,0.00105611,0.00105611
92,18992.6,0.59186,0.05298,0.04423,0.23595,0.00835,0,0.99098,0.99189,0.99369,0.94459,0.98925,0.99005,0.99357,0.99351,0.38716,0.01758,0.00594,0.11978,0.00757,0,0.00102663,0.00102663,0.00102663
93,19200.2,0.58898,0.05295,0.04435,0.23849,0.00826,0,0.99247,0.99202,0.99367,0.94467,0.99053,0.98992,0.99354,0.9935,0.38655,0.01752,0.00592,0.11897,0.00756,0,0.000997371,0.000997371,0.000997371
94,19402.2,0.5901,0.05285,0.04422,0.23679,0.00826,0,0.99137,0.99196,0.99364,0.94458,0.98992,0.98927,0.99352,0.99348,0.38571,0.01745,0.00589,0.11931,0.00754,0,0.000968335,0.000968335,0.000968335
95,19605.9,0.58724,0.05172,0.04322,0.2333,0.00821,0,0.99352,0.99136,0.99362,0.94485,0.99167,0.9894,0.9935,0.99346,0.38491,0.01741,0.00593,0.11808,0.00752,0,0.000939539,0.000939539,0.000939539
96,19807.5,0.58524,0.05145,0.04355,0.2314,0.00821,0,0.99207,0.99215,0.99353,0.9449,0.99225,0.98803,0.9934,0.99335,0.38413,0.01738,0.00579,0.1179,0.00751,0,0.000910996,0.000910996,0.000910996
97,20005.5,0.58322,0.05291,0.04385,0.23609,0.00817,0,0.99086,0.99323,0.99344,0.94487,0.99134,0.98908,0.99332,0.99328,0.38335,0.01734,0.00567,0.11818,0.00749,0,0.000882718,0.000882718,0.000882718
98,20205.6,0.58033,0.0521,0.04382,0.2308,0.00816,0,0.99264,0.9928,0.99344,0.94496,0.99187,0.98971,0.9933,0.99325,0.38258,0.01734,0.00586,0.11727,0.00748,0,0.000854717,0.000854717,0.000854717
99,20407.7,0.58005,0.05037,0.04277,0.23303,0.00811,0,0.99449,0.99192,0.99343,0.94545,0.99298,0.98953,0.99329,0.99323,0.38186,0.0173,0.00579,0.11666,0.00746,0,0.000827005,0.000827005,0.000827005
100,20608.4,0.58197,0.05145,0.04304,0.23219,0.00818,0,0.995,0.99031,0.99341,0.94546,0.99357,0.98848,0.99322,0.99317,0.38122,0.01728,0.00577,0.117,0.00745,0,0.000799596,0.000799596,0.000799596
101,20810.9,0.57587,0.05262,0.04254,0.23141,0.00807,0,0.99254,0.99204,0.9934,0.94541,0.99174,0.98927,0.99322,0.99316,0.38048,0.01726,0.00573,0.11753,0.00743,0,0.0007725,0.0007725,0.0007725
102,21017.1,0.57734,0.05019,0.04252,0.23105,0.0081,0,0.99461,0.99032,0.9935,0.94571,0.9929,0.98833,0.99331,0.99324,0.37998,0.01724,0.00566,0.11829,0.00742,0,0.00074573,0.00074573,0.00074573
103,21221.9,0.57742,0.04973,0.04235,0.23145,0.00806,0,0.99201,0.9911,0.99343,0.9458,0.99151,0.98862,0.99323,0.99317,0.37957,0.01722,0.00562,0.11806,0.00741,0,0.000719297,0.000719297,0.000719297
104,21421,0.57184,0.05001,0.04193,0.22816,0.00801,0.00089,0.9926,0.99176,0.99337,0.94588,0.99307,0.98822,0.99319,0.99313,0.379,0.01718,0.00559,0.11711,0.0074,0,0.000693214,0.000693214,0.000693214
105,21621.2,0.57111,0.04895,0.04114,0.22687,0.00803,0,0.99112,0.99335,0.99346,0.94602,0.99177,0.98914,0.99326,0.99319,0.37858,0.01717,0.00563,0.11678,0.0074,0,0.00066749,0.00066749,0.00066749
106,21825,0.57556,0.05009,0.04167,0.22884,0.00804,0.00366,0.99255,0.99314,0.99369,0.94624,0.99123,0.9908,0.99358,0.99351,0.37799,0.01715,0.00559,0.11558,0.00738,0,0.000642139,0.000642139,0.000642139
107,22026.3,0.57117,0.05032,0.04189,0.22589,0.00798,0,0.99392,0.99254,0.99374,0.94641,0.99238,0.99045,0.99362,0.99355,0.37747,0.01714,0.00555,0.11472,0.00737,0,0.00061717,0.00061717,0.00061717
108,22227.1,0.57014,0.05072,0.043,0.22816,0.00799,0,0.99345,0.99254,0.99371,0.94652,0.99299,0.9894,0.99357,0.99351,0.37716,0.01713,0.00554,0.11448,0.00737,0,0.000592596,0.000592596,0.000592596
109,22429,0.5685,0.04693,0.04183,0.22461,0.00797,0,0.99287,0.99463,0.99358,0.94643,0.99104,0.99254,0.99345,0.99339,0.37661,0.01715,0.00551,0.11432,0.00735,0,0.000568425,0.000568425,0.000568425
